7322564	7322564	100000	10	10	5	1
3485398	3485398	100000	10	10	5	1
2783726	2783726	100000	10	10	5	1
1630553	1630553	100000	10	10	5	1
1585577	1585577	100000	10	10	5	1
1110549	1110549	100000	10	10	5	1
1027974	1027974	100000	10	10	5	1
1006877	1006877	100000	10	10	5	1
983403	983403	100000	10	10	5	1
935933	935933	100000	10	10	5	1
782248	782248	100000	10	10	5	1
736014	736014	100000	10	10	5	1
731327	731327	100000	10	10	5	1
723959	723959	100000	10	10	5	1
635230	635230	100000	10	10	5	1
632910	632910	100000	10	10	5	1
628088	628088	100000	10	10	5	1
610337	610337	100000	10	10	5	1
606900	606900	100000	10	10	5	1
574283	574283	100000	10	10	5	1
516259	516259	100000	10	10	5	1
515342	515342	100000	10	10	5	1
505616	505616	100000	10	10	5	1
496938	496938	100000	10	10	5	1
488374	488374	100000	10	10	5	1
467610	467610	100000	10	10	5	1
465622	465622	100000	10	10	5	1
444719	444719	100000	10	10	5	1
437319	437319	100000	10	10	5	1
435146	435146	100000	10	10	5	1
429433	429433	100000	10	10	5	1
405390	405390	100000	10	10	5	1
396685	396685	100000	10	10	5	1
395934	395934	100000	10	10	5	1
394017	394017	100000	10	10	5	1
393069	393069	100000	10	10	5	1
384736	384736	100000	10	10	5	1
372242	372242	100000	10	10	5	1
369879	369879	100000	10	10	5	1
369365	369365	100000	10	10	5	1
368383	368383	100000	10	10	5	1
367302	367302	100000	10	10	5	1
364040	364040	100000	10	10	5	1
358548	358548	100000	10	10	5	1
354202	354202	100000	10	10	5	1
335795	335795	100000	10	10	5	1
332943	332943	100000	10	10	5	1
328123	328123	100000	10	10	5	1
304011	304011	100000	10	10	5	1
293742	293742	100000	10	10	5	1
288091	288091	100000	10	10	5	1
281140	281140	100000	10	10	5	1
280015	280015	100000	10	10	5	1
275221	275221	100000	10	10	5	1
272235	272235	100000	10	10	5	1
269063	269063	100000	10	10	5	1
266406	266406	100000	10	10	5	1
265968	265968	100000	10	10	5	1
261721	261721	100000	10	10	5	1
261229	261229	100000	10	10	5	1
258295	258295	100000	10	10	5	1
257453	257453	100000	10	10	5	1
238629	238629	100000	10	10	5	1
231636	231636	100000	10	10	5	1
228537	228537	100000	10	10	5	1
226505	226505	100000	10	10	5	1
225366	225366	100000	10	10	5	1
223019	223019	100000	10	10	5	1
222103	222103	100000	10	10	5	1
219531	219531	100000	10	10	5	1
210943	210943	100000	10	10	5	1
207951	207951	100000	10	10	5	1
203056	203056	100000	10	10	5	1
198525	198525	100000	10	10	5	1
196637	196637	100000	10	10	5	1
196278	196278	100000	10	10	5	1
193187	193187	100000	10	10	5	1
191972	191972	100000	10	10	5	1
191262	191262	100000	10	10	5	1
189126	189126	100000	10	10	5	1
188082	188082	100000	10	10	5	1
188004	188004	100000	10	10	5	1
187106	187106	100000	10	10	5	1
186206	186206	100000	10	10	5	1
183521	183521	100000	10	10	5	1
182044	182044	100000	10	10	5	1
181519	181519	100000	10	10	5	1
180650	180650	100000	10	10	5	1
180038	180038	100000	10	10	5	1
177196	177196	100000	10	10	5	1
176664	176664	100000	10	10	5	1
175795	175795	100000	10	10	5	1
174820	174820	100000	10	10	5	1
173339	173339	100000	10	10	5	1
173072	173072	100000	10	10	5	1
170936	170936	100000	10	10	5	1
170045	170045	100000	10	10	5	1
169759	169759	100000	10	10	5	1
165121	165121	100000	10	10	5	1
164730	164730	100000	10	10	5	1
164693	164693	100000	10	10	5	1
164164	164164	100000	10	10	5	1
163860	163860	100000	10	10	5	1
160728	160728	100000	10	10	5	1
159936	159936	100000	10	10	5	1
159789	159789	100000	10	10	5	1
157615	157615	100000	10	10	5	1
156983	156983	100000	10	10	5	1
155037	155037	100000	10	10	5	1
152466	152466	100000	10	10	5	1
151976	151976	100000	10	10	5	1
149767	149767	100000	10	10	5	1
149428	149428	100000	10	10	5	1
149377	149377	100000	10	10	5	1
148134	148134	100000	10	10	5	1
144864	144864	100000	10	10	5	1
143485	143485	100000	10	10	5	1
143050	143050	100000	10	10	5	1
142216	142216	100000	10	10	5	1
141865	141865	100000	10	10	5	1
141686	141686	100000	10	10	5	1
140891	140891	100000	10	10	5	1
140761	140761	100000	10	10	5	1
140494	140494	100000	10	10	5	1
139739	139739	100000	10	10	5	1
139426	139426	100000	10	10	5	1
137560	137560	100000	10	10	5	1
136611	136611	100000	10	10	5	1
135163	135163	100000	10	10	5	1
133850	133850	100000	10	10	5	1
133793	133793	100000	10	10	5	1
133179	133179	100000	10	10	5	1
133107	133107	100000	10	10	5	1
131723	131723	100000	10	10	5	1
131591	131591	100000	10	10	5	1
130474	130474	100000	10	10	5	1
130069	130069	100000	10	10	5	1
128713	128713	100000	10	10	5	1
128398	128398	100000	10	10	5	1
127321	127321	100000	10	10	5	1
126481	126481	100000	10	10	5	1
126379	126379	100000	10	10	5	1
126272	126272	100000	10	10	5	1
125738	125738	100000	10	10	5	1
124773	124773	100000	10	10	5	1
124682	124682	100000	10	10	5	1
122899	122899	100000	10	10	5	1
121697	121697	100000	10	10	5	1
119883	119883	100000	10	10	5	1
119363	119363	100000	10	10	5	1
