29760021	29760021	115800	10	10	5	1
17990455	17990455	101800	10	10	5	1			
16986510	16986510	72600	10	10	5	1			
12937926	12937926	72400	10	10	5	1			
11881643	11881643	38400	10	10	5	1			
11430602	11430602	59200	10	10	5	1			
10847115	10847115	66000	10	10	5	1			
9295297		9295297		48400	10	10	5	1	
7730188		7730188		71300	10	10	5	1	
6628637		6628637		96600	10	10	5	1	
6478216		6478216		71200	10	10	5	1	
6187358		6187358		66600	10	10	5	1	
6016425		6016425		161400	10	10	5	1	
5544159		5544159		60800	10	10	5	1	
5117073		5117073		61500	10	10	5	1	
4891769		4891769		75200	10	10	5	1	
4877185		4877185		74400	10	10	5	1	
4866692		4866692		77800	10	10	5	1	
4781468		4781468		138500	10	10	5	1	
4375099		4375099		70900	10	10	5	1	
4219973		4219973		67900	10	10	5	1	
4040587		4040587		62200	10	10	5	1	
3685296		3685296		61500	10	10	5	1	
3665228		3665228		77100	10	10	5	1	
3486703		3486703		72600	10	10	5	1	
3294394		3294394		79000	10	10	5	1	
3287116		3287116		133800	10	10	5	1	
3145585		3145585		54900	10	10	5	1	
2842321		2842321		60300	10	10	5	1	
2776755		2776755		49500	10	10	5	1	
2573216		2573216		54600	10	10	5	1	
2477574		2477574		48800	10	10	5	1	
2350725		2350725		64200	10	10	5	1	
1793477		1793477		66100	10	10	5	1	
1722850		1722850		67200	10	10	5	1	
1578385		1578385		61700	10	10	5	1	
1515069		1515069		99000	10	10	5	1	
1227928		1227928		79500	10	10	5	1	
1201833		1201833		99300	10	10	5	1	
1109252		1109252		112400	10	10	5	1	
1006749		1006749		67700	10	10	5	1	
1003464		1003464		113000	10	10	5	1	
799065		799065		63200	10	10	5	1	
696004		696004		59500	10	10	5	1	
666168		666168		88700	10	10	5	1	
638800		638800		67900	10	10	5	1	
606900		606900		123900	10	10	5	1	
562758		562758		94100	10	10	5	1	
453588		453588		68700	10	10	5	1
