7322564	7322564	189600	10	10	5	1
3485398	3485398	244500	10	10	5	1		
2783726	2783726	78700	10	10	5	1		
1630553	1630553	58000	10	10	5	1		
1585577	1585577	49400	10	10	5	1		
1110549	1110549	189400	10	10	5	1		
1027974	1027974	25600	10	10	5	1		
1006877	1006877	78800	10	10	5	1		
983403	983403	77100	10	10	5	1		
935933	935933	49700	10	10	5	1		
782248	782248	259100	10	10	5	1		
736014	736014	54700	10	10	5	1		
731327	731327	60800	10	10	5	1		
723959	723959	298900	10	10	5	1		
635230	635230	62900	10	10	5	1		
632910	632910	66000	10	10	5	1		
628088	628088	53500	10	10	5	1		
610337	610337	55700	10	10	5	1		
606900	606900	123900	10	10	5	1		
574283	574283	161400	10	10	5	1		
516259	516259	137900	10	10	5	1		
515342	515342	58500	10	10	5	1		
505616	505616	40900	10	10	5	1		
496938	496938	69600	10	10	5	1		
488374	488374	74400	10	10	5	1		
467610	467610	79000	10	10	5	1		
465622	465622	72600	10	10	5	1		
447619	447619	59900	10	10	5	1		
444719	444719	54900	10	10	5	1		
437319	437319	59200	10	10	5	1		
435146	435146	56100	10	10	5	1		
429433	429433	222900	10	10	5	1		
405390	405390	66800	10	10	5	1		
396685	396685	50700	10	10	5	1		
395934	395934	81300	10	10	5	1		
394017	394017	71200	10	10	5	1		
393069	393069	96500	10	10	5	1		
384736	384736	85900	10	10	5	1		
372242	372242	177400	10	10	5	1		
369879	369879	41200	10	10	5	1		
369365	369365	115800	10	10	5	1		
368383	368383	71700	10	10	5	1		
367302	367302	60500	10	10	5	1		
364040	364040	61900	10	10	5	1		
358548	358548	79200	10	10	5	1		
354202	354202	80300	10	10	5	1		
335795	335795	54600	10	10	5	1		
332943	332943	48900	10	10	5	1		
328123	328123	46700	10	10	5	1		
304011	304011	56700	10	10	5	1		
272235	272235	70900	10	10	5	1		
219531	219531	67900	10	10	5	1		
207951	207951	96600	10	10	5	1		
203056	203056	66600	10	10	5	1		
196637	196637	54600	10	10	5	1		
193187	193187	49500	10	10	5	1		
191972	191972	61700	10	10	5	1		
191262	191262	75200	10	10	5	1		
187106	187106	62200	10	10	5	1		
175795	175795	64200	10	10	5	1		
160728	160728	113000	10	10	5	1		
159936	159936	67200	10	10	5	1		
139739	139739	133800	10	10	5	1		
127321	127321	48400	10	10	5	1		
125738	125738	67700	10	10	5	1		
124773	124773	72400	10	10	5	1		
119883	119883	48800	10	10	5	1		
107786	107786	60300	10	10	5	1		
105227	105227	59200	10	10	5	1		
101082	101082	101800	10	10	5	1		
98052	98052	72600	10	10	5	1		
88675	88675	71300	10	10	5	1		
57287	57287	66100	10	10	5	1		
55859	55859	99000	10	10	5	1		
52376	52376	38400	10	10	5	1		
50008	50008	68700	10	10	5	1		
49256	49256	67900	10	10	5	1		
40443	40443	99300	10	10	5	1		
36006	36006	112400	10	10	5	1		
35481	35481	61500	10	10	5	1		
33840	33840	77800	10	10	5	1		
33187	33187	138500	10	10	5	1		
27630	27630	88700	10	10	5	1		
25968	25968	61500	10	10	5	1		
24569	24569	63200	10	10	5	1		
21325	21325	79500	10	10	5	1		
12906	12906	59500	10	10	5	1		
8247	8247	94100	10	10	5	1
